Model,Accuracy,Precision,Recall,F1
Decision Tree A,0.7936583057264552,0.6138433515482696,0.6007130124777184,0.6072072072072072
Decision Tree B,0.7581637482252721,0.548828125,0.5008912655971479,0.5237651444547996
Balanced Decision Tree,0.6975863700899195,0.46153846153846156,0.8342245989304813,0.5942857142857143
Tuned Decision Tree,0.7486985328916232,0.5182926829268293,0.7575757575757576,0.6154960173787111
Random Forest (bonus),0.7823000473260767,0.617169373549884,0.4741532976827095,0.5362903225806451
